Local Time,UTC Time,Country Code,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,Wind Speed
2026-01-01 00:00:00,2025-12-31 17:00:00+00:00,VN,123,639.0,33.4,50.0,39.5,38.4,32.0,99,0.1,1011.6,95,19.2,8.5
2026-01-01 01:00:00,2025-12-31 18:00:00+00:00,VN,122,622.0,31.7,51.0,40.4,39.3,30.4,47,0.0,1011.5,96,19.1,9.2
2026-01-01 02:00:00,2025-12-31 19:00:00+00:00,VN,121,553.0,29.4,52.0,39.5,38.4,28.8,71,0.1,1011.2,95,19.0,8.8
2026-01-01 03:00:00,2025-12-31 20:00:00+00:00,VN,120,463.0,27.0,55.0,37.7,36.8,27.4,100,0.1,1011.1,96,18.9,9.6
2026-01-01 04:00:00,2025-12-31 21:00:00+00:00,VN,118,419.0,26.3,56.0,36.4,35.5,27.3,95,0.1,1011.2,98,18.5,10.0
2026-01-01 05:00:00,2025-12-31 22:00:00+00:00,VN,117,462.0,28.9,56.0,34.7,34.0,29.4,95,0.0,1011.7,98,18.5,10.3
2026-01-01 06:00:00,2025-12-31 23:00:00+00:00,VN,115,552.0,33.1,55.0,35.0,34.3,32.8,100,0.0,1012.5,97,18.5,8.9
2026-01-01 07:00:00,2026-01-01 00:00:00+00:00,VN,113,630.0,38.5,44.0,37.3,36.4,37.1,100,0.2,1013.5,97,18.5,8.3
2026-01-01 08:00:00,2026-01-01 01:00:00+00:00,VN,110,684.0,36.0,53.0,36.9,36.1,37.4,100,0.3,1014.9,94,18.8,9.5
2026-01-01 09:00:00,2026-01-01 02:00:00+00:00,VN,107,727.0,32.6,65.0,34.1,33.2,37.6,90,0.3,1015.8,89,19.6,7.9
2026-01-01 10:00:00,2026-01-01 03:00:00+00:00,VN,104,740.0,29.8,74.0,31.7,30.7,37.2,100,0.0,1016.1,88,20.5,7.5
2026-01-01 11:00:00,2026-01-01 04:00:00+00:00,VN,102,698.0,28.5,77.0,27.5,26.5,35.5,100,0.1,1015.6,85,21.2,7.4
2026-01-01 12:00:00,2026-01-01 05:00:00+00:00,VN,100,627.0,27.7,77.0,27.1,26.3,33.0,100,0.7,1014.9,85,20.8,11.4
2026-01-01 13:00:00,2026-01-01 06:00:00+00:00,VN,99,580.0,26.7,76.0,30.7,30.0,31.0,98,0.6,1014.2,80,21.6,11.7
2026-01-01 14:00:00,2026-01-01 07:00:00+00:00,VN,98,579.0,24.8,75.0,32.1,31.7,29.8,79,0.0,1013.7,72,23.2,11.1
2026-01-01 15:00:00,2026-01-01 08:00:00+00:00,VN,98,603.0,22.5,74.0,22.5,22.2,28.9,100,0.0,1014.1,73,23.0,11.5
2026-01-01 16:00:00,2026-01-01 09:00:00+00:00,VN,97,646.0,20.7,72.0,14.3,14.2,28.2,98,0.4,1014.7,79,21.2,15.1
2026-01-01 17:00:00,2026-01-01 10:00:00+00:00,VN,95,724.0,19.7,70.0,9.1,9.1,27.4,100,0.1,1015.5,84,20.0,15.0
2026-01-01 18:00:00,2026-01-01 11:00:00+00:00,VN,92,821.0,19.3,67.0,9.3,9.3,26.8,100,0.4,1016.6,83,18.9,18.7
2026-01-01 19:00:00,2026-01-01 12:00:00+00:00,VN,90,883.0,19.6,59.0,14.6,14.3,27.1,100,0.9,1016.4,88,19.1,15.1
2026-01-01 20:00:00,2026-01-01 13:00:00+00:00,VN,88,880.0,18.3,60.0,13.0,12.9,26.6,100,0.2,1016.9,87,19.1,14.5
